container,Match,Container,Pallet,notes,Created TS
00008178101113743948,TRUE,TRUE,TRUE,,2/27/2021 11:17:42 AM
00008178101113744976,TRUE,TRUE,TRUE,,3/2/2021 1:59:29 PM
00008178101113745027,TRUE,TRUE,TRUE,,3/2/2021 8:21:45 AM
00008178101113745126,TRUE,TRUE,TRUE,,3/2/2021 11:02:53 AM
00008178101113745195,TRUE,TRUE,TRUE,,3/1/2021 1:19:29 PM
00008178101113745508,TRUE,TRUE,TRUE,,3/1/2021 11:44:23 AM
00008178101113745584,TRUE,TRUE,TRUE,,3/2/2021 5:22:58 AM
00008178101113745799,TRUE,TRUE,TRUE,,3/1/2021 8:00:28 AM
00008178101113746017,TRUE,TRUE,TRUE,,3/1/2021 2:59:28 PM
00008178101113746437,TRUE,TRUE,TRUE,,2/27/2021 12:38:13 PM
00008178101113746536,TRUE,TRUE,TRUE,,2/27/2021 11:03:28 AM
00008178101113747137,TRUE,TRUE,TRUE,,2/27/2021 11:40:59 AM
00008178101113747335,TRUE,TRUE,TRUE,,3/1/2021 8:44:18 AM
00008178101113747380,TRUE,TRUE,TRUE,,3/1/2021 1:52:27 PM
00008178101113747427,TRUE,TRUE,TRUE,,3/1/2021 8:41:42 AM
00008178101113747441,TRUE,TRUE,TRUE,,3/1/2021 12:15:27 PM
00008178101113747908,TRUE,TRUE,TRUE,,2/27/2021 1:24:24 PM
00008178101113748134,TRUE,TRUE,TRUE,,2/27/2021 10:54:49 AM
00008178101113749155,TRUE,TRUE,TRUE,,2/27/2021 12:35:57 PM
00008178101113749568,TRUE,TRUE,TRUE,,2/27/2021 1:00:08 PM
00008178101113750816,TRUE,TRUE,TRUE,,2/27/2021 11:27:59 AM
00008178101113752377,TRUE,TRUE,TRUE,,2/27/2021 11:43:10 AM
00008178101113753855,FALSE,FALSE,FALSE,,2/27/2021 12:44:45 PM
00008178101113754104,TRUE,TRUE,TRUE,,2/27/2021 11:38:46 AM
00008178101113755101,TRUE,TRUE,TRUE,,2/27/2021 1:12:56 PM
00008178101113756566,TRUE,TRUE,TRUE,,2/27/2021 11:45:12 AM
00008178101113756764,TRUE,TRUE,TRUE,,2/27/2021 1:21:55 PM
00008178101113762802,TRUE,TRUE,TRUE,,2/27/2021 11:12:47 AM
00008178101113766121,TRUE,TRUE,TRUE,,2/27/2021 12:44:27 PM
00008178101113766558,TRUE,TRUE,TRUE,,2/27/2021 11:10:13 AM
00008178101113767067,TRUE,TRUE,TRUE,,2/27/2021 11:11:51 AM
00008178101113767838,TRUE,TRUE,TRUE,,2/27/2021 11:31:30 AM
00008178101113770746,TRUE,TRUE,TRUE,,2/27/2021 1:03:09 PM
00008178101113771965,TRUE,TRUE,TRUE,,2/27/2021 12:36:42 PM
00008178101113772603,TRUE,TRUE,TRUE,,2/27/2021 11:02:30 AM
00008178101113773433,TRUE,TRUE,TRUE,,2/27/2021 11:00:13 AM
00008178101113776861,TRUE,TRUE,TRUE,,2/27/2021 12:51:25 PM
00008178101113780479,TRUE,TRUE,TRUE,,3/1/2021 12:06:06 PM
00008178101113780943,TRUE,TRUE,TRUE,,2/27/2021 11:37:57 AM
00008178101113780950,FALSE,FALSE,FALSE,,2/27/2021 1:10:09 PM
00008178101113780974,TRUE,TRUE,TRUE,,3/1/2021 8:28:53 AM
00008178101113781070,TRUE,TRUE,TRUE,,2/27/2021 1:11:19 PM
00008178101113785375,TRUE,TRUE,TRUE,,2/27/2021 11:15:59 AM
00008178101113792014,TRUE,TRUE,TRUE,,3/2/2021 5:41:27 AM
00008178101113792120,TRUE,TRUE,TRUE,,3/1/2021 3:13:13 PM
00008178101113792441,TRUE,TRUE,TRUE,,3/1/2021 3:11:06 PM
00008178101113792892,TRUE,TRUE,TRUE,,3/2/2021 5:55:58 AM
00008178101113811357,TRUE,TRUE,TRUE,,3/1/2021 8:29:34 AM
00008178101113811753,TRUE,TRUE,TRUE,,3/1/2021 12:09:25 PM
00008178101113811777,TRUE,TRUE,TRUE,,3/2/2021 5:49:48 AM
00008178101113811791,TRUE,TRUE,TRUE,,3/1/2021 1:39:18 PM
00008178101113811852,TRUE,TRUE,TRUE,,2/27/2021 1:12:07 PM
00008178101113813115,TRUE,TRUE,TRUE,,2/27/2021 12:55:35 PM
00008178101113813726,TRUE,TRUE,TRUE,,2/27/2021 1:16:15 PM
00008178101113814655,TRUE,TRUE,TRUE,,3/1/2021 8:43:09 AM
00008178101113815157,FALSE,FALSE,FALSE,,3/1/2021 8:42:10 AM
00008178101113816505,TRUE,TRUE,TRUE,,2/27/2021 12:50:47 PM
00008178101113817182,TRUE,TRUE,TRUE,,2/27/2021 1:22:43 PM
00008178101113817380,TRUE,TRUE,TRUE,,3/1/2021 12:14:38 PM
00008178101113817656,TRUE,TRUE,TRUE,,3/1/2021 1:51:44 PM
00008178101113818028,TRUE,TRUE,TRUE,,3/1/2021 8:39:14 AM
00008178101113818837,TRUE,TRUE,TRUE,,2/27/2021 1:03:55 PM
00008178101113819094,TRUE,TRUE,TRUE,,3/1/2021 12:02:09 PM
00008178101113819155,TRUE,TRUE,TRUE,,3/1/2021 1:45:31 PM
00008178101113819162,TRUE,TRUE,TRUE,,3/1/2021 8:33:46 AM
00008178101113820205,TRUE,TRUE,TRUE,,3/1/2021 3:21:35 PM
00008178101113820403,TRUE,TRUE,TRUE,,2/27/2021 1:02:22 PM
00008178101113820496,TRUE,TRUE,TRUE,,3/1/2021 8:15:41 AM
00008178101113820687,TRUE,TRUE,TRUE,,3/1/2021 1:32:16 PM
00008178101113820748,TRUE,TRUE,TRUE,,3/1/2021 12:01:08 PM
00008178101113823633,TRUE,TRUE,TRUE,,3/1/2021 2:58:26 PM
00008178101113833502,TRUE,TRUE,TRUE,,3/2/2021 5:44:16 AM
00008178101113833540,TRUE,TRUE,TRUE,,3/2/2021 5:27:20 AM
00008178101113833700,TRUE,TRUE,TRUE,,3/1/2021 3:08:00 PM
00008178101113834646,TRUE,TRUE,TRUE,,3/1/2021 3:17:58 PM
00008178101113834882,TRUE,TRUE,TRUE,,3/2/2021 5:37:07 AM
00008178101113834974,TRUE,TRUE,TRUE,,3/1/2021 1:49:40 PM
00008178101113835032,TRUE,TRUE,TRUE,,3/1/2021 8:37:46 AM
00008178101113835049,TRUE,TRUE,TRUE,,3/1/2021 12:13:07 PM
00008178101113835087,TRUE,TRUE,TRUE,,3/2/2021 5:54:08 AM
00008178101113837333,TRUE,TRUE,TRUE,,2/27/2021 11:20:11 AM
00008178101113837357,TRUE,TRUE,TRUE,,3/1/2021 8:13:08 AM
00008178101113837418,TRUE,TRUE,TRUE,,2/27/2021 12:52:46 PM
00008178101113837449,TRUE,TRUE,TRUE,,2/27/2021 12:39:37 PM
